dataset_group,task,pc1,pc2
B,slide the door to the left,0.24496440926890295,-2.5656964203533095
B,move down the switch,-0.18803138604453018,-3.5096239510303455
B,lift the red block lying in the drawer,3.2984129295491527,1.587657203474571
B,lift the red block in the drawer,3.231036459458628,1.829787458692067
B,toggle the button to turn on the green light,0.14706924361708978,-5.2092405012708225
B,push the door to the left side,-0.06976176480827503,-2.9652725366716344
B,take the blue block and rotate it right,-2.58829862701566,-0.2507141339856982
B,move the door to the left side,-0.37649629479603985,-3.1810775641984974
B,pick up the red block,-0.8753578255915324,1.9639408705160697
B,open the cabinet drawer,5.4685296132236205,-1.0899886743408687
B,"grasp the red block on the table, then lift it up",0.6018116474802769,1.5174312797380365
B,grasp the pink block lying in the drawer,3.676810711381317,2.0517591655218097
B,"grasp the door handle, then slide the door to the left",1.6005861929010785,-2.355941145826431
B,push the button to turn off the green light,0.19540430290722827,-5.030788914772166
B,move the door all the way to the left,-0.3407013848864799,-3.145518416003233
B,grasp the red block lying in the sliding cabinet,1.8732389952889639,0.7575680218486386
B,grasp the handle of the drawer and open it,5.07450447836155,-0.29005420767896106
B,turn on the green lamp,-0.5157087007846995,-4.700463235269997
B,pick up the blue block in the drawer,3.435481608691128,1.5992302156777265
B,move the door to the right,-0.24125668718091542,-3.3156486077443783
B,pull the drawer,5.17338779427741,0.07996501971809317
B,move the light switch to turn on the light bulb,0.7119625233293971,-5.055644807939736
B,go towards the pink block in the drawer and grasp it,3.1823649123117406,1.6213078721419782
B,push the block into the drawer,3.0838204861759797,1.1869440454159494
B,grasp the red block lying on the shelf,1.6042928901339182,1.89399601588155
B,sweep the object into the drawer,4.756983556518433,-0.6360744281064874
B,move the light switch to turn on the yellow light,0.027943847186182598,-4.918474870474988
B,push the switch upwards,-0.4237623455310352,-3.6605714914702965
B,take the blue block and turn it right,-1.9104334292262584,-0.18723943919273509
B,pick up the red block from the table,0.019470986258603756,1.9784961052446117
B,grasp the door handle and slide the door to the right,1.6587231565523473,-2.3932364468356577
B,push down the button to turn on the green light,-0.10797366300021902,-4.970741261300839
B,slide the pink block towards the left,-2.42986110286408,1.0973880409621029
B,grasp the red block lying on the shelf,1.6042928901339182,1.89399601588155
B,grasp the pink block on the table and lift it up,0.6879817246166458,1.9337795351830227
B,in the cabinet grasp the pink block,2.19522363484716,1.774656158843926
B,slide left the red block,-2.0837645805858522,0.6640437177050572
B,grasp the red block and rotate it left,-1.8567506392682123,0.5013308914890918
B,in the slider pick up the blue block,-0.9635704136884775,1.2705531307496452
B,lift the red block up,-1.1895012998667007,1.3583710184156672
B,slide the block into the drawer,3.0815399764661247,1.3218915702696132
B,go towards the red block in the drawer and lift it,2.7303560965828146,1.0416949904160242
B,push the object into the drawer,4.540053761889352,-0.19954188341464
B,push the door to the right side,0.015654599156228594,-2.9763748519908697
B,put the block on top of another block,-1.6667697598544675,2.0396022211003686
B,slide the blue block to the right,-2.524528477292678,0.29895826761679495
B,rotate the blue block towards the right,-3.262011706448916,-0.6282672662899594
B,collapse the stacked blocks,-0.55450621096467,1.656694644195107
B,push the button to turn off the led,1.2233233392489933,-4.646798093734051
B,open the drawer,5.811760536566646,-0.7930339408392972
B,turn on the led,0.2140596963596304,-4.537295379272742
B,push the button to turn off the green light,0.19540430290722827,-5.030788914772166
B,lift the blue block from the table,-0.39206414237952214,1.3598049742804321
B,put the object in the drawer,4.96238888787379,-0.08290924749215607
B,toggle the light switch to turn off the light bulb,1.09680532840545,-5.073196538931251
B,open the cabinet drawer,5.4685296132236205,-1.0899886743408687
B,push left the pink block,-2.1661200371511007,0.8739457045062236
B,rotate the red block to the left,-3.3082797576468734,-0.3226358146092404
B,move the light switch to turn off the light bulb,0.8988234811708222,-5.12859523104438
B,push the pink block to the left,-2.5750711887954867,0.9176570673629765
B,grasp the drawer handle and close it,5.124537982199197,-0.17310481377782963
B,slide the door to the right side,0.39277510327986886,-2.5325310768141893
B,grasp the blue block and rotate it right,-1.7798249176427245,0.06820446192294653
B,push the red block towards the right,-2.4387972072953326,0.282683378367181
B,push the object into the drawer,4.540053761889352,-0.19954188341464
B,pick up the red block from the shelf,1.2881576709795364,1.8818122499810284
B,pick up the blue block in the drawer,3.435481608691128,1.5992302156777265
B,push the button to turn off the led,1.2233233392489933,-4.646798093734051
B,in the cabinet pick up the pink block,1.9995244457301748,1.5822051873451297
B,lift the pink block,-1.1361315213825656,2.2710141975802682
B,unstack the blocks,-0.20358649080767904,1.6088393350702324
B,pick up the pink block on the table,0.14897643367731694,2.499257602012447
B,slide right the pink block,-2.1044326995416336,1.3877766976545796
B,rotate the blue block towards the right,-3.262011706448916,-0.6282672662899594
B,pick up the pink block on the table,0.14897643367731694,2.499257602012447
B,grasp the blue block lying in the drawer,3.8508396001660774,1.2753387436001877
B,push the blue block towards the left,-2.8618820205313704,-0.1926455779109562
B,grasp the red block in the drawer,3.7904832340690815,1.7932103408043667
B,push the block into the drawer,3.0838204861759797,1.1869440454159494
B,pick up the blue block,-1.0415104408617257,1.6827870900316282
B,grasp the red block lying in the drawer,3.8144548581298996,1.5978349879085225
B,rotate the red block 90 degrees to the left,-3.2189836698588934,-0.8024232199921204
B,push the blue block to the left,-2.814813285063217,-0.06041719715589553
B,push the switch upwards,-0.4237623455310352,-3.6605714914702965
B,grasp the pink block lying in the sliding cabinet,1.8577572077676863,1.2519017803259922
B,pick up the blue block from the drawer,3.3885340012031153,1.6743239435875308
B,slide the pink block to the left,-2.335649641201637,1.1475738392314387
B,turn on the yellow lamp,0.029141444586990247,-4.60610013417295
B,stack blocks on top of each other,-0.47445788814573925,1.955012258798805
B,grasp the blue block and rotate it left,-1.899667882056673,0.1034570928584823
B,rotate the pink block towards the right,-3.227204547753128,0.2736373776543654
B,go towards the blue block in the drawer and lift it,2.6822783744374785,0.8017348175054907
B,pick up the pink block lying in the drawer,3.4227792306617215,2.18317270603518
B,move the light switch to turn off the light bulb,0.8988234811708222,-5.12859523104438
B,take the pink block and rotate it left,-2.5253615894843047,0.6343137064787946
B,slide the blue block towards the left,-2.666226654160992,0.1678002420803754
B,pick up the red block from the table,0.019470986258603756,1.9784961052446117
