model,display_name,task,success,total,success_rate
act_lang_B_100k,ACT-Lang-B 100k,close_drawer,54,54,1.0
act_lang_B_100k,ACT-Lang-B 100k,lift_blue_block_drawer,1,2,0.5
act_lang_B_100k,ACT-Lang-B 100k,lift_blue_block_slider,11,39,0.28205128205128205
act_lang_B_100k,ACT-Lang-B 100k,lift_blue_block_table,5,34,0.14705882352941177
act_lang_B_100k,ACT-Lang-B 100k,lift_pink_block_slider,8,33,0.24242424242424243
act_lang_B_100k,ACT-Lang-B 100k,lift_pink_block_table,12,42,0.2857142857142857
act_lang_B_100k,ACT-Lang-B 100k,lift_red_block_slider,9,41,0.21951219512195122
act_lang_B_100k,ACT-Lang-B 100k,lift_red_block_table,14,37,0.3783783783783784
act_lang_B_100k,ACT-Lang-B 100k,move_slider_left,3,87,0.034482758620689655
act_lang_B_100k,ACT-Lang-B 100k,move_slider_right,20,116,0.1724137931034483
act_lang_B_100k,ACT-Lang-B 100k,open_drawer,69,135,0.5111111111111111
act_lang_B_100k,ACT-Lang-B 100k,place_in_drawer,13,14,0.9285714285714286
act_lang_B_100k,ACT-Lang-B 100k,place_in_slider,19,27,0.7037037037037037
act_lang_B_100k,ACT-Lang-B 100k,push_blue_block_left,15,37,0.40540540540540543
act_lang_B_100k,ACT-Lang-B 100k,push_blue_block_right,5,27,0.18518518518518517
act_lang_B_100k,ACT-Lang-B 100k,push_into_drawer,10,27,0.37037037037037035
act_lang_B_100k,ACT-Lang-B 100k,push_pink_block_left,15,35,0.42857142857142855
act_lang_B_100k,ACT-Lang-B 100k,push_pink_block_right,11,32,0.34375
act_lang_B_100k,ACT-Lang-B 100k,push_red_block_left,17,40,0.425
act_lang_B_100k,ACT-Lang-B 100k,push_red_block_right,14,33,0.42424242424242425
act_lang_B_100k,ACT-Lang-B 100k,rotate_blue_block_left,5,25,0.2
act_lang_B_100k,ACT-Lang-B 100k,rotate_blue_block_right,5,32,0.15625
act_lang_B_100k,ACT-Lang-B 100k,rotate_pink_block_left,7,24,0.2916666666666667
act_lang_B_100k,ACT-Lang-B 100k,rotate_pink_block_right,4,35,0.11428571428571428
act_lang_B_100k,ACT-Lang-B 100k,rotate_red_block_left,9,28,0.32142857142857145
act_lang_B_100k,ACT-Lang-B 100k,rotate_red_block_right,3,31,0.0967741935483871
act_lang_B_100k,ACT-Lang-B 100k,stack_block,2,19,0.10526315789473684
act_lang_B_100k,ACT-Lang-B 100k,turn_off_led,0,66,0.0
act_lang_B_100k,ACT-Lang-B 100k,turn_off_lightbulb,0,50,0.0
act_lang_B_100k,ACT-Lang-B 100k,turn_on_led,0,86,0.0
act_lang_B_100k,ACT-Lang-B 100k,turn_on_lightbulb,0,71,0.0
act_lang_B_100k,ACT-Lang-B 100k,unstack_block,1,2,0.5
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,close_drawer,87,87,1.0
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,lift_blue_block_drawer,3,5,0.6
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,lift_blue_block_slider,22,78,0.28205128205128205
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,lift_blue_block_table,22,65,0.3384615384615385
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,lift_pink_block_drawer,1,2,0.5
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,lift_pink_block_slider,28,78,0.358974358974359
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,lift_pink_block_table,27,82,0.32926829268292684
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,lift_red_block_drawer,3,5,0.6
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,lift_red_block_slider,14,71,0.19718309859154928
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,lift_red_block_table,36,83,0.43373493975903615
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,move_slider_left,92,122,0.7540983606557377
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,move_slider_right,157,167,0.9401197604790419
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,open_drawer,186,186,1.0
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,place_in_drawer,33,35,0.9428571428571428
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,place_in_slider,50,74,0.6756756756756757
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,push_blue_block_left,26,49,0.5306122448979592
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,push_blue_block_right,26,48,0.5416666666666666
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,push_into_drawer,33,58,0.5689655172413793
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,push_pink_block_left,20,54,0.37037037037037035
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,push_pink_block_right,24,43,0.5581395348837209
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,push_red_block_left,35,56,0.625
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,push_red_block_right,28,52,0.5384615384615384
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,rotate_blue_block_left,10,43,0.23255813953488372
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,rotate_blue_block_right,8,55,0.14545454545454545
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,rotate_pink_block_left,11,37,0.2972972972972973
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,rotate_pink_block_right,16,47,0.3404255319148936
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,rotate_red_block_left,15,40,0.375
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,rotate_red_block_right,24,52,0.46153846153846156
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,stack_block,9,37,0.24324324324324326
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,turn_off_led,72,96,0.75
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,turn_off_lightbulb,10,74,0.13513513513513514
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,turn_on_led,89,115,0.7739130434782608
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,turn_on_lightbulb,27,106,0.25471698113207547
act_lang_ABC_size_matched_100k,ACT-Lang-ABC Size-Matched 100k,unstack_block,4,4,1.0
act_lang_ABC_200k,ACT-Lang-ABC 200k,close_drawer,103,103,1.0
act_lang_ABC_200k,ACT-Lang-ABC 200k,lift_blue_block_drawer,2,6,0.3333333333333333
act_lang_ABC_200k,ACT-Lang-ABC 200k,lift_blue_block_slider,28,86,0.32558139534883723
