experiment,display_name,mode,chunk_t,mean_action_l1
act_lang_B,ACT-Lang-B,correct,0,0.3510461449623108
act_lang_B,ACT-Lang-B,correct,1,0.330349862575531
act_lang_B,ACT-Lang-B,correct,2,0.31333470344543457
act_lang_B,ACT-Lang-B,correct,3,0.3195090591907501
act_lang_B,ACT-Lang-B,correct,4,0.2970212399959564
act_lang_B,ACT-Lang-B,correct,5,0.305650919675827
act_lang_B,ACT-Lang-B,correct,6,0.314393013715744
act_lang_B,ACT-Lang-B,correct,7,0.30074697732925415
act_lang_B,ACT-Lang-B,correct,8,0.31751003861427307
act_lang_B,ACT-Lang-B,correct,9,0.33162349462509155
act_lang_B,ACT-Lang-B,correct,10,0.32130101323127747
act_lang_B,ACT-Lang-B,correct,11,0.3354385197162628
act_lang_B,ACT-Lang-B,correct,12,0.3489198386669159
act_lang_B,ACT-Lang-B,correct,13,0.3321934640407562
act_lang_B,ACT-Lang-B,correct,14,0.32477784156799316
act_lang_B,ACT-Lang-B,correct,15,0.30247217416763306
act_lang_B,ACT-Lang-B,correct,16,0.3371399939060211
act_lang_B,ACT-Lang-B,correct,17,0.3285640478134155
act_lang_B,ACT-Lang-B,correct,18,0.3416301906108856
act_lang_B,ACT-Lang-B,correct,19,0.2806839644908905
act_lang_B,ACT-Lang-B,correct,20,0.2917397916316986
act_lang_B,ACT-Lang-B,correct,21,0.3049808144569397
act_lang_B,ACT-Lang-B,correct,22,0.34555530548095703
act_lang_B,ACT-Lang-B,correct,23,0.3351311683654785
act_lang_B,ACT-Lang-B,correct,24,0.3631581962108612
act_lang_B,ACT-Lang-B,correct,25,0.36182039976119995
act_lang_B,ACT-Lang-B,correct,26,0.3569774329662323
act_lang_B,ACT-Lang-B,correct,27,0.3574920892715454
act_lang_B,ACT-Lang-B,correct,28,0.3901500105857849
act_lang_B,ACT-Lang-B,correct,29,0.3788510859012604
act_lang_B,ACT-Lang-B,correct,30,0.41559889912605286
act_lang_B,ACT-Lang-B,correct,31,0.4320976436138153
act_lang_B,ACT-Lang-B,correct,32,0.4304232895374298
act_lang_B,ACT-Lang-B,correct,33,0.4031035304069519
act_lang_B,ACT-Lang-B,correct,34,0.41075006127357483
act_lang_B,ACT-Lang-B,correct,35,0.40866637229919434
act_lang_B,ACT-Lang-B,correct,36,0.44813263416290283
act_lang_B,ACT-Lang-B,correct,37,0.42809608578681946
act_lang_B,ACT-Lang-B,correct,38,0.43493351340293884
act_lang_B,ACT-Lang-B,correct,39,0.40769103169441223
act_lang_B,ACT-Lang-B,correct,40,0.41324159502983093
act_lang_B,ACT-Lang-B,correct,41,0.39430564641952515
act_lang_B,ACT-Lang-B,correct,42,0.35629624128341675
act_lang_B,ACT-Lang-B,correct,43,0.36635681986808777
act_lang_B,ACT-Lang-B,correct,44,0.4167782962322235
act_lang_B,ACT-Lang-B,correct,45,0.40372732281684875
act_lang_B,ACT-Lang-B,correct,46,0.3381159007549286
act_lang_B,ACT-Lang-B,correct,47,0.3733898401260376
act_lang_B,ACT-Lang-B,correct,48,0.3573567271232605
act_lang_B,ACT-Lang-B,correct,49,0.3369441032409668
act_lang_B,ACT-Lang-B,correct,50,0.39649689197540283
act_lang_B,ACT-Lang-B,correct,51,0.29259192943573
act_lang_B,ACT-Lang-B,correct,52,0.3086335062980652
act_lang_B,ACT-Lang-B,correct,53,0.31882166862487793
act_lang_B,ACT-Lang-B,correct,54,0.32993587851524353
act_lang_B,ACT-Lang-B,correct,55,0.27880948781967163
act_lang_B,ACT-Lang-B,correct,56,0.25692838430404663
act_lang_B,ACT-Lang-B,correct,57,0.23228242993354797
act_lang_B,ACT-Lang-B,correct,58,0.19100165367126465
act_lang_B,ACT-Lang-B,correct,59,0.15297554433345795
act_lang_B,ACT-Lang-B,correct,60,0.13879463076591492
act_lang_B,ACT-Lang-B,correct,61,0.05824964493513107
act_lang_B,ACT-Lang-B,correct,62,0.021537818014621735
act_lang_B,ACT-Lang-B,correct,63,0.0
act_lang_B,ACT-Lang-B,correct,64,0.0
act_lang_B,ACT-Lang-B,correct,65,0.0
act_lang_B,ACT-Lang-B,correct,66,0.0
act_lang_B,ACT-Lang-B,correct,67,0.0
act_lang_B,ACT-Lang-B,correct,68,0.0
act_lang_B,ACT-Lang-B,correct,69,0.0
act_lang_B,ACT-Lang-B,correct,70,0.0
act_lang_B,ACT-Lang-B,correct,71,0.0
act_lang_B,ACT-Lang-B,correct,72,0.0
act_lang_B,ACT-Lang-B,correct,73,0.0
act_lang_B,ACT-Lang-B,correct,74,0.0
act_lang_B,ACT-Lang-B,correct,75,0.0
act_lang_B,ACT-Lang-B,correct,76,0.0
act_lang_B,ACT-Lang-B,correct,77,0.0
act_lang_B,ACT-Lang-B,correct,78,0.0
act_lang_B,ACT-Lang-B,correct,79,0.0
act_lang_B,ACT-Lang-B,correct,80,0.0
act_lang_B,ACT-Lang-B,correct,81,0.0
act_lang_B,ACT-Lang-B,correct,82,0.0
act_lang_B,ACT-Lang-B,correct,83,0.0
act_lang_B,ACT-Lang-B,correct,84,0.0
act_lang_B,ACT-Lang-B,correct,85,0.0
act_lang_B,ACT-Lang-B,correct,86,0.0
act_lang_B,ACT-Lang-B,correct,87,0.0
act_lang_B,ACT-Lang-B,correct,88,0.0
act_lang_B,ACT-Lang-B,correct,89,0.0
act_lang_B,ACT-Lang-B,correct,90,0.0
act_lang_B,ACT-Lang-B,correct,91,0.0
act_lang_B,ACT-Lang-B,correct,92,0.0
act_lang_B,ACT-Lang-B,correct,93,0.0
act_lang_B,ACT-Lang-B,correct,94,0.0
act_lang_B,ACT-Lang-B,correct,95,0.0
act_lang_B,ACT-Lang-B,correct,96,0.0
act_lang_B,ACT-Lang-B,correct,97,0.0
act_lang_B,ACT-Lang-B,correct,98,0.0
act_lang_B,ACT-Lang-B,correct,99,0.0
act_lang_B,ACT-Lang-B,zero_language,0,0.632443368434906
act_lang_B,ACT-Lang-B,zero_language,1,0.6250362992286682
act_lang_B,ACT-Lang-B,zero_language,2,0.6245751976966858
act_lang_B,ACT-Lang-B,zero_language,3,0.6341301798820496
act_lang_B,ACT-Lang-B,zero_language,4,0.6056081056594849
act_lang_B,ACT-Lang-B,zero_language,5,0.6066190600395203
act_lang_B,ACT-Lang-B,zero_language,6,0.6003857254981995
act_lang_B,ACT-Lang-B,zero_language,7,0.5990608930587769
act_lang_B,ACT-Lang-B,zero_language,8,0.5973803997039795
act_lang_B,ACT-Lang-B,zero_language,9,0.5892634391784668
act_lang_B,ACT-Lang-B,zero_language,10,0.584494948387146
act_lang_B,ACT-Lang-B,zero_language,11,0.5969733595848083
act_lang_B,ACT-Lang-B,zero_language,12,0.5950478911399841
act_lang_B,ACT-Lang-B,zero_language,13,0.5632215738296509
act_lang_B,ACT-Lang-B,zero_language,14,0.5488348007202148
act_lang_B,ACT-Lang-B,zero_language,15,0.5176903009414673
act_lang_B,ACT-Lang-B,zero_language,16,0.5347135663032532
act_lang_B,ACT-Lang-B,zero_language,17,0.5177818536758423
act_lang_B,ACT-Lang-B,zero_language,18,0.5452250838279724
act_lang_B,ACT-Lang-B,zero_language,19,0.5045112371444702
act_lang_B,ACT-Lang-B,zero_language,20,0.5221306681632996
act_lang_B,ACT-Lang-B,zero_language,21,0.5546560287475586
act_lang_B,ACT-Lang-B,zero_language,22,0.6253867149353027
act_lang_B,ACT-Lang-B,zero_language,23,0.585971474647522
