model,display_name,sequence_idx,subtask_idx,subtask,language,num_actions,num_chunks,success,steps,mean_action_delta_l2_first6,q90_action_delta_l2_first6,mean_chunk_boundary_jump_l2_first6,q90_chunk_boundary_jump_l2_first6,mean_action_norm_l2_first6,mean_abs_gripper
act_lang_B_100k,ACT-Lang-B 100k,1,1,rotate_blue_block_right,take the blue block and rotate it to the right,360,15,False,360,0.05979522506376952,0.11036179065704343,0.29058330399649485,0.4181838303804398,0.25215918358622325,1.0
act_lang_B_100k,ACT-Lang-B 100k,2,1,turn_off_led,press the button to turn off the led light,360,15,False,360,0.05348920633284827,0.10634957998991013,0.27262546334947857,0.41572744846344,0.3396709072714051,1.0
act_lang_B_100k,ACT-Lang-B 100k,3,1,lift_pink_block_slider,lift the pink block from the sliding cabinet,360,15,False,360,0.06044279610540998,0.06745849698781964,0.5972113758325577,0.7464564681053162,0.34959104686147635,1.0
act_lang_B_100k,ACT-Lang-B 100k,4,1,rotate_blue_block_right,take the blue block and rotate it to the right,360,15,False,360,0.05904918064656447,0.11505962312221522,0.43286553025245667,0.7194878041744233,0.29147753086355,1.0
act_lang_B_100k,ACT-Lang-B 100k,5,1,open_drawer,pull the handle to open the drawer,45,2,True,45,0.04483752215111798,0.07593398690223695,0.19111204147338867,0.19111204147338867,0.4719973776075575,1.0
act_lang_B_100k,ACT-Lang-B 100k,5,2,lift_pink_block_table,grasp and lift the pink block,360,15,False,360,0.051940482537830276,0.08830467462539672,0.3573911967022078,0.5866450548171998,0.3245032276751267,1.0
act_lang_B_100k,ACT-Lang-B 100k,6,1,push_blue_block_left,go push the blue block left,360,15,False,360,0.061162454828433174,0.07784359753131866,0.4342948687928064,0.5219062179327012,0.27806830319265524,1.0
act_lang_B_100k,ACT-Lang-B 100k,7,1,open_drawer,pull the handle to open the drawer,360,15,False,360,0.05275330490181041,0.08811050951480864,0.3120947533420154,0.4060104042291641,0.25588466825170647,1.0
act_lang_B_100k,ACT-Lang-B 100k,8,1,push_pink_block_right,go push the pink block right,360,15,False,360,0.04495622909531869,0.06983950585126875,0.34954546711274553,0.5408239841461182,0.2579323528541459,1.0
act_lang_B_100k,ACT-Lang-B 100k,9,1,open_drawer,pull the handle to open the drawer,49,2,True,49,0.045329412329010665,0.06946987435221673,0.24199225008487701,0.24199225008487701,0.5010520384019735,1.0
act_lang_B_100k,ACT-Lang-B 100k,9,2,push_red_block_right,go push the red block right,160,7,True,160,0.05202053403833284,0.08304286748170858,0.3555746451020241,0.5144766271114349,0.35066121770069003,1.0
act_lang_B_100k,ACT-Lang-B 100k,9,3,move_slider_left,push the sliding door to the left side,360,15,False,360,0.0631189354005319,0.09618511646986005,0.37855605674641474,0.5666708886623383,0.368851509069403,1.0
act_lang_B_100k,ACT-Lang-B 100k,10,1,push_red_block_left,go push the red block left,62,3,True,62,0.04418190762583838,0.06932686269283295,0.24602948129177094,0.29514207541942594,0.312540584514218,1.0
act_lang_B_100k,ACT-Lang-B 100k,10,2,lift_blue_block_table,grasp and lift the blue block,360,15,False,360,0.041743106921501766,0.06375349462032318,0.30365386392389027,0.4997154712677002,0.25424892502940366,1.0
act_lang_B_100k,ACT-Lang-B 100k,11,1,rotate_blue_block_left,take the blue block and rotate it to the left,360,15,False,360,0.07294879224369287,0.11268852651119231,0.5401590839028358,0.9700505495071412,0.38191962227639226,1.0
act_lang_B_100k,ACT-Lang-B 100k,12,1,lift_pink_block_slider,lift the pink block from the sliding cabinet,360,15,False,360,0.03446848641608875,0.05182396918535232,0.3010426333972386,0.474785751104355,0.36920321782430016,1.0
act_lang_B_100k,ACT-Lang-B 100k,13,1,move_slider_left,push the sliding door to the left side,360,15,False,360,0.04326039917402561,0.07768527865409851,0.221376361059291,0.4569416284561158,0.33460096166365677,1.0
act_lang_B_100k,ACT-Lang-B 100k,14,1,turn_on_led,press the button to turn on the led light,360,15,False,360,0.06154580622091682,0.09040382355451583,0.41193072657499996,0.6113252282142639,0.35981525985731017,1.0
act_lang_B_100k,ACT-Lang-B 100k,15,1,lift_red_block_slider,lift the red block from the sliding cabinet,360,15,False,360,0.06484663334459813,0.10135299265384673,0.4561258171285902,0.612752091884613,0.3352570652133889,1.0
act_lang_B_100k,ACT-Lang-B 100k,16,1,move_slider_left,push the sliding door to the left side,360,15,False,360,0.04136567724308305,0.06702320873737334,0.22665716814143316,0.33244682252407076,0.33883947018120025,1.0
act_lang_B_100k,ACT-Lang-B 100k,17,1,push_red_block_left,go push the red block left,39,2,True,39,0.04203713930359012,0.0480379268527031,0.5369495749473572,0.5369495749473572,0.41248956628334826,1.0
